#ENSG	ENSTselected	ENSTredundant	Type
ENSG00000063601	ENST00000488357	ENST00000538506	1
ENSG00000064225	ENST00000265261	ENST00000486249	1
ENSG00000064607	ENST00000456085	ENST00000598240	1
ENSG00000064692	ENST00000414317	ENST00000509023	1
ENSG00000064692	ENST00000542191	ENST00000510658	2
ENSG00000064933	ENST00000418224	ENST00000342075	2
ENSG00000065548	ENST00000544130	ENST00000421536	2
ENSG00000065911	ENST00000264090	ENST00000470592	1
ENSG00000065911	ENST00000394050	ENST00000489041	1
ENSG00000066044	ENST00000351593	ENST00000596459	1
ENSG00000067225	ENST00000449901	ENST00000567118	1
ENSG00000067798	ENST00000551162	ENST00000541270	2
ENSG00000068724	ENST00000263737	ENST00000441914	1
ENSG00000069943	ENST00000539642	ENST00000565367	1
ENSG00000070269	ENST00000536419	ENST00000555497	1
ENSG00000070748	ENST00000395562	ENST00000466590	1
ENSG00000071205	ENST00000507661	ENST00000414545	2
ENSG00000071462	ENST00000423166	ENST00000436944	1
ENSG00000072952	ENST00000421747	ENST00000545852	1
ENSG00000072952	ENST00000421747	ENST00000552103	1
ENSG00000072952	ENST00000552103	ENST00000545852	2
ENSG00000073331	ENST00000504176	ENST00000509722	1
ENSG00000075131	ENST00000367709	ENST00000566524	1
ENSG00000075223	ENST00000544525	ENST00000419255	2
ENSG00000075223	ENST00000536800	ENST00000458729	2
ENSG00000075790	ENST00000436699	ENST00000379121	2
ENSG00000076201	ENST00000431726	ENST00000602307	1
ENSG00000077238	ENST00000380922	ENST00000568746	1
ENSG00000077463	ENST00000381935	ENST00000600938	1
ENSG00000078070	ENST00000539926	ENST00000495767	2
ENSG00000078674	ENST00000522275	ENST00000327578	2
ENSG00000079841	ENST00000522211	ENST00000538414	1
ENSG00000080824	ENST00000441629	ENST00000554401	1
ENSG00000081177	ENST00000312994	ENST00000409242	1
ENSG00000082074	ENST00000540520	ENST00000512982	2
ENSG00000082258	ENST00000537343	ENST00000452839	2
ENSG00000083312	ENST00000520850	ENST00000447967	2
ENSG00000083812	ENST00000593925	ENST00000535298	2
ENSG00000083814	ENST00000335820	ENST00000601584	1
ENSG00000084110	ENST00000541929	ENST00000544080	1
ENSG00000084234	ENST00000278756	ENST00000543137	1
ENSG00000084453	ENST00000537524	ENST00000544290	1
ENSG00000086205	ENST00000343844	ENST00000525826	1
ENSG00000087157	ENST00000329897	ENST00000588169	1
ENSG00000087470	ENST00000414834	ENST00000546649	1
ENSG00000088808	ENST00000556597	ENST00000423488	2
ENSG00000089041	ENST00000535250	ENST00000538011	1
ENSG00000089041	ENST00000541446	ENST00000541022	2
ENSG00000089094	ENST00000536437	ENST00000543025	1
ENSG00000089351	ENST00000504615	ENST00000600231	1
ENSG00000090097	ENST00000395013	ENST00000471308	1
ENSG00000090612	ENST00000537565	ENST00000536899	2
ENSG00000090857	ENST00000542659	ENST00000564563	1
ENSG00000091140	ENST00000537148	ENST00000415325	2
ENSG00000091164	ENST00000540155	ENST00000587807	1
ENSG00000091536	ENST00000579848	ENST00000451725	2
ENSG00000091732	ENST00000311873	ENST00000467642	1
ENSG00000092068	ENST00000422941	ENST00000528860	1
ENSG00000092108	ENST00000541123	ENST00000311943	2
ENSG00000092108	ENST00000421551	ENST00000463622	1
ENSG00000092421	ENST00000515129	ENST00000282394	2
ENSG00000093183	ENST00000536332	ENST00000449617	2
ENSG00000095596	ENST00000224356	ENST00000394139	1
ENSG00000095951	ENST00000541134	ENST00000399469	2
ENSG00000099622	ENST00000444172	ENST00000587169	1
ENSG00000099797	ENST00000436007	ENST00000598987	1
ENSG00000099875	ENST00000541165	ENST00000586828	1
ENSG00000099901	ENST00000430524	ENST00000435265	1
ENSG00000099968	ENST00000543133	ENST00000498133	2
ENSG00000100012	ENST00000539629	ENST00000434642	2
ENSG00000100593	ENST00000393684	ENST00000216481	2
ENSG00000100614	ENST00000529574	ENST00000531143	1
ENSG00000100644	ENST00000539097	ENST00000557538	1
ENSG00000100916	ENST00000543183	ENST00000552677	1
ENSG00000100979	ENST00000542937	ENST00000477313	2
ENSG00000101199	ENST00000519273	ENST00000520485	1
ENSG00000101608	ENST00000580887	ENST00000536605	2
ENSG00000101639	ENST00000511820	ENST00000430049	2
ENSG00000101746	ENST00000535475	ENST00000586314	1
ENSG00000102021	ENST00000451986	ENST00000371921	2
ENSG00000102024	ENST00000539310	ENST00000481823	2
ENSG00000102312	ENST00000367574	ENST00000485288	1
ENSG00000102606	ENST00000544132	ENST00000469877	2
ENSG00000102908	ENST00000349945	ENST00000426654	1
ENSG00000103035	ENST00000540379	ENST00000568717	1
ENSG00000103089	ENST00000544337	ENST00000567683	1
ENSG00000103226	ENST00000538468	ENST00000575225	1
ENSG00000103227	ENST00000568964	ENST00000539379	2
ENSG00000103316	ENST00000396023	ENST00000415987	1
ENSG00000103423	ENST00000431375	ENST00000576911	1
ENSG00000103429	ENST00000426842	ENST00000566710	1
ENSG00000103449	ENST00000541611	ENST00000566102	1
ENSG00000103740	ENST00000541759	ENST00000560124	1
ENSG00000104365	ENST00000416505	ENST00000517890	1
ENSG00000104419	ENST00000537882	ENST00000517599	2
ENSG00000104442	ENST00000458464	ENST00000528721	1
ENSG00000104524	ENST00000377579	ENST00000447926	1
ENSG00000104814	ENST00000423454	ENST00000585583	1
ENSG00000104870	ENST00000598319	ENST00000598949	1
ENSG00000104888	ENST00000543531	ENST00000600601	1
ENSG00000105053	ENST00000443401	ENST00000596814	1
ENSG00000105607	ENST00000422947	ENST00000590530	1
ENSG00000105655	ENST00000545187	ENST00000582811	1
ENSG00000105671	ENST00000438170	ENST00000595858	1
ENSG00000105699	ENST00000605618	ENST00000427250	2
ENSG00000105701	ENST00000610101	ENST00000544835	2
ENSG00000105819	ENST00000420236	ENST00000444457	1
ENSG00000105865	ENST00000402620	ENST00000431839	1
ENSG00000105963	ENST00000446141	ENST00000449296	1
ENSG00000106038	ENST00000535619	ENST00000580535	1
ENSG00000106052	ENST00000433216	ENST00000416801	2
ENSG00000106462	ENST00000536783	ENST00000483012	2
ENSG00000106686	ENST00000381895	ENST00000406861	1
ENSG00000106723	ENST00000541629	ENST00000469017	4
ENSG00000107036	ENST00000545641	ENST00000449720	2
ENSG00000107186	ENST00000438511	ENST00000541093	1
ENSG00000107614	ENST00000457442	ENST00000495022	1
ENSG00000107929	ENST00000440895	ENST00000608970	3
ENSG00000108039	ENST00000502935	ENST00000369680	2
ENSG00000108296	ENST00000536127	ENST00000585298	1
ENSG00000108344	ENST00000541736	ENST00000415039	2
ENSG00000108424	ENST00000582097	ENST00000537679	2
ENSG00000108439	ENST00000534893	ENST00000582171	1
ENSG00000108448	ENST00000395902	ENST00000572555	1
ENSG00000108669	ENST00000361101	ENST00000446868	1
ENSG00000108823	ENST00000451235	ENST00000502555	1
ENSG00000108848	ENST00000544170	ENST00000508482	2
ENSG00000109184	ENST00000381437	ENST00000507741	1
ENSG00000109445	ENST00000421169	ENST00000506302	1
ENSG00000109689	ENST00000237364	ENST00000467087	1
ENSG00000110074	ENST00000442061	ENST00000525770	1
ENSG00000110079	ENST00000355131	ENST00000343968	2
ENSG00000110324	ENST00000545409	ENST00000526544	2
ENSG00000110324	ENST00000541785	ENST00000534574	2
ENSG00000110583	ENST00000456907	ENST00000534965	1
ENSG00000110619	ENST00000401769	ENST00000529772	1
ENSG00000110799	ENST00000572068	ENST00000321023	2
ENSG00000110900	ENST00000544427	ENST00000535215	2
ENSG00000110975	ENST00000535526	ENST00000539102	1
ENSG00000111203	ENST00000419778	ENST00000537851	1
ENSG00000111203	ENST00000542548	ENST00000540929	2
ENSG00000111247	ENST00000543041	ENST00000398012	2
ENSG00000111424	ENST00000535672	ENST00000547065	1
ENSG00000111481	ENST00000416254	ENST00000550171	1
ENSG00000111731	ENST00000545552	ENST00000544930	2
ENSG00000111817	ENST00000540275	ENST00000430252	2
ENSG00000112078	ENST00000536244	ENST00000265344	2
ENSG00000112078	ENST00000544295	ENST00000481911	2
ENSG00000112339	ENST00000533274	ENST00000367824	2
ENSG00000112964	ENST00000537449	ENST00000511135	2
ENSG00000113108	ENST00000508496	ENST00000511896	1
ENSG00000113407	ENST00000414361	ENST00000507716	1
ENSG00000113494	ENST00000397391	ENST00000514088	1
ENSG00000113593	ENST00000535264	ENST00000510930	2
ENSG00000113593	ENST00000538977	ENST00000511908	2
ENSG00000113621	ENST00000508779	ENST00000546290	1
ENSG00000113643	ENST00000538719	ENST00000520013	2
ENSG00000114127	ENST00000544157	ENST00000486211	2
ENSG00000114268	ENST00000541519	ENST00000417753	2
ENSG00000114491	ENST00000413078	ENST00000497791	1
ENSG00000114520	ENST00000536067	ENST00000471751	2
ENSG00000114554	ENST00000393409	ENST00000251772	2
ENSG00000114573	ENST00000538620	ENST00000470455	2
ENSG00000114648	ENST00000455924	ENST00000442272	2
ENSG00000114670	ENST00000412440	ENST00000510474	1
ENSG00000114812	ENST00000438259	ENST00000439910	1
ENSG00000114982	ENST00000440133	ENST00000597150	1
ENSG00000114988	ENST00000426463	ENST00000446780	1
ENSG00000114988	ENST00000537039	ENST00000434865	2
ENSG00000114988	ENST00000534882	ENST00000440610	2
ENSG00000115355	ENST00000444458	ENST00000422883	2
ENSG00000115806	ENST00000452526	ENST00000442798	2
ENSG00000115840	ENST00000392592	ENST00000263812	2
ENSG00000115966	ENST00000409499	ENST00000392543	2
ENSG00000115966	ENST00000392544	ENST00000426833	1
ENSG00000115966	ENST00000421438	ENST00000487334	1
ENSG00000115966	ENST00000429579	ENST00000538946	1
ENSG00000117054	ENST00000543667	ENST00000525808	2
ENSG00000117305	ENST00000374483	ENST00000374487	1
ENSG00000117834	ENST00000441260	ENST00000420136	2
ENSG00000118162	ENST00000536339	ENST00000594208	1
ENSG00000118307	ENST00000537577	ENST00000554533	1
ENSG00000118369	ENST00000441408	ENST00000530546	1
ENSG00000118596	ENST00000543448	ENST00000549033	1
ENSG00000118965	ENST00000416055	ENST00000445063	1
ENSG00000119688	ENST00000298816	ENST00000553745	1
ENSG00000119689	ENST00000334212	ENST00000554612	1
ENSG00000120451	ENST00000539184	ENST00000530356	2
ENSG00000120733	ENST00000542866	ENST00000507996	2
ENSG00000120889	ENST00000542226	ENST00000523504	2
ENSG00000120949	ENST00000417814	ENST00000514649	1
ENSG00000121310	ENST00000536120	ENST00000476477	2
ENSG00000121440	ENST00000535920	ENST00000462146	2
ENSG00000122008	ENST00000380481	ENST00000505975	1
ENSG00000122490	ENST00000409073	ENST00000351365	2
ENSG00000122497	ENST00000392972	ENST00000426874	1
ENSG00000122497	ENST00000431121	ENST00000436356	1
ENSG00000122497	ENST00000431121	ENST00000444640	1
ENSG00000122497	ENST00000431121	ENST00000448574	1
ENSG00000122497	ENST00000431121	ENST00000458135	1
ENSG00000122497	ENST00000436356	ENST00000444640	1
ENSG00000122497	ENST00000436356	ENST00000448574	1
ENSG00000122497	ENST00000436356	ENST00000458135	1
ENSG00000122497	ENST00000444640	ENST00000448574	1
ENSG00000122497	ENST00000444640	ENST00000458135	1
ENSG00000122497	ENST00000448574	ENST00000458135	1
ENSG00000123268	ENST00000539132	ENST00000551831	1
ENSG00000123411	ENST00000431367	ENST00000551103	1
ENSG00000123472	ENST00000542495	ENST00000529214	2
ENSG00000124334	ENST00000369423	ENST00000540897	1
ENSG00000124440	ENST00000420102	ENST00000600383	1
ENSG00000124507	ENST00000244458	ENST00000374043	1
ENSG00000124813	ENST00000352853	ENST00000465038	1
ENSG00000125089	ENST00000539824	ENST00000515682	2
ENSG00000125450	ENST00000447371	ENST00000581104	1
ENSG00000125450	ENST00000541827	ENST00000579324	1
ENSG00000125648	ENST00000600682	ENST00000414491	2
ENSG00000125651	ENST00000593678	ENST00000429701	2
ENSG00000126773	ENST00000555740	ENST00000535349	2
ENSG00000127022	ENST00000512607	ENST00000514032	1
ENSG00000127507	ENST00000595208	ENST00000392964	2
ENSG00000127804	ENST00000538844	ENST00000576556	1
ENSG00000128655	ENST00000436700	ENST00000450799	1
ENSG00000128833	ENST00000443683	ENST00000558902	1
ENSG00000128918	ENST00000537372	ENST00000430119	2
ENSG00000128973	ENST00000418702	ENST00000567060	1
ENSG00000129007	ENST00000540479	ENST00000395463	2
ENSG00000129116	ENST00000508898	ENST00000333488	2
ENSG00000129515	ENST00000355110	ENST00000556162	1
ENSG00000129566	ENST00000545983	ENST00000557314	1
ENSG00000129625	ENST00000511865	ENST00000545426	1
ENSG00000129691	ENST00000545394	ENST00000517496	2
ENSG00000130177	ENST00000252457	ENST00000375308	1
ENSG00000130935	ENST00000535137	ENST00000581375	1
ENSG00000131196	ENST00000545796	ENST00000590313	1
ENSG00000131398	ENST00000391818	ENST00000474951	1
ENSG00000131503	ENST00000432301	ENST00000544120	1
ENSG00000131848	ENST00000254165	ENST00000587492	1
ENSG00000131941	ENST00000400226	ENST00000588388	1
ENSG00000131969	ENST00000395752	ENST00000382029	2
ENSG00000132003	ENST00000590508	ENST00000440752	2
ENSG00000132026	ENST00000393233	ENST00000589272	1
ENSG00000132142	ENST00000416895	ENST00000413318	2
ENSG00000132170	ENST00000397000	ENST00000539812	1
ENSG00000132471	ENST00000344296	ENST00000588373	1
ENSG00000132768	ENST00000412950	ENST00000524776	1
ENSG00000132781	ENST00000528332	ENST00000529984	1
ENSG00000132837	ENST00000380311	ENST00000518477	1
ENSG00000132837	ENST00000540686	ENST00000517853	2
ENSG00000133063	ENST00000535569	ENST00000255427	2
ENSG00000133488	ENST00000392772	ENST00000320982	2
ENSG00000133488	ENST00000540456	ENST00000321205	2
ENSG00000133606	ENST00000437223	ENST00000495305	1
ENSG00000134014	ENST00000542181	ENST00000523687	2
ENSG00000134056	ENST00000512880	ENST00000602380	1
ENSG00000134115	ENST00000539053	ENST00000397479	2
ENSG00000134138	ENST00000219869	ENST00000560570	1
ENSG00000134215	ENST00000490388	ENST00000371846	2
ENSG00000134215	ENST00000544443	ENST00000529413	2
ENSG00000134216	ENST00000451398	ENST00000352594	2
ENSG00000134265	ENST00000542979	ENST00000580224	1
ENSG00000134330	ENST00000481367	ENST00000545602	1
ENSG00000134440	ENST00000423481	ENST00000586807	1
ENSG00000134490	ENST00000450466	ENST00000581444	1
ENSG00000134575	ENST00000537863	ENST00000531004	2
ENSG00000134812	ENST00000541311	ENST00000525058	2
ENSG00000134851	ENST00000542052	ENST00000508404	2
ENSG00000135083	ENST00000519673	ENST00000541762	1
ENSG00000135124	ENST00000543171	ENST00000543984	1
ENSG00000135164	ENST00000414194	ENST00000412139	2
ENSG00000135269	ENST00000537767	ENST00000492891	2
ENSG00000135272	ENST00000257724	ENST00000393486	1
ENSG00000135436	ENST00000544141	ENST00000533372	2
ENSG00000135446	ENST00000540325	ENST00000553237	1
ENSG00000135541	ENST00000475846	ENST00000417892	2
ENSG00000135697	ENST00000425577	ENST00000563804	1
ENSG00000135775	ENST00000535166	ENST00000468893	2
ENSG00000136002	ENST00000438985	ENST00000428230	2
ENSG00000136098	ENST00000452082	ENST00000400357	2
ENSG00000136279	ENST00000490734	ENST00000411855	2
ENSG00000136280	ENST00000381112	ENST00000475551	1
ENSG00000136854	ENST00000495829	ENST00000496504	5
ENSG00000137713	ENST00000427203	ENST00000534521	1
ENSG00000137752	ENST00000353247	ENST00000415981	1
ENSG00000137752	ENST00000446369	ENST00000594519	1
ENSG00000137776	ENST00000536328	ENST00000557924	1
ENSG00000137802	ENST00000260357	ENST00000505373	1
ENSG00000138031	ENST00000606682	ENST00000405392	2
ENSG00000138050	ENST00000510781	ENST00000454352	2
ENSG00000138075	ENST00000543989	ENST00000486512	2
ENSG00000138115	ENST00000535898	ENST00000525991	2
ENSG00000138303	ENST00000545550	ENST00000317126	2
ENSG00000138363	ENST00000540518	ENST00000443953	2
ENSG00000138380	ENST00000545253	ENST00000414439	2
ENSG00000138380	ENST00000456821	ENST00000457031	1
ENSG00000138386	ENST00000434473	ENST00000545490	1
ENSG00000138434	ENST00000428267	ENST00000454579	1
ENSG00000138640	ENST00000502811	ENST00000504229	5
ENSG00000138658	ENST00000445203	ENST00000514770	1
ENSG00000138696	ENST00000440890	ENST00000509540	1
ENSG00000138750	ENST00000458189	ENST00000512151	1
ENSG00000138777	ENST00000310267	ENST00000506815	1
ENSG00000139151	ENST00000266505	ENST00000447925	1
ENSG00000139151	ENST00000540270	ENST00000541695	1
ENSG00000139220	ENST00000541017	ENST00000551461	1
ENSG00000139323	ENST00000541909	ENST00000547496	1
ENSG00000139372	ENST00000542036	ENST00000540956	2
ENSG00000139865	ENST00000478811	ENST00000382320	2
ENSG00000139974	ENST00000456840	ENST00000529345	1
ENSG00000139998	ENST00000585059	ENST00000436278	2
ENSG00000140009	ENST00000542956	ENST00000556275	1
ENSG00000140153	ENST00000499851	ENST00000555879	1
ENSG00000140455	ENST00000268049	ENST00000558157	1
ENSG00000140463	ENST00000539603	ENST00000567279	1
ENSG00000140488	ENST00000539635	ENST00000437872	2
ENSG00000140545	ENST00000539437	ENST00000558018	1
ENSG00000140650	ENST00000537352	ENST00000565221	1
ENSG00000140650	ENST00000539622	ENST00000562318	1
ENSG00000140691	ENST00000564900	ENST00000412665	2
ENSG00000140718	ENST00000394647	ENST00000464071	1
ENSG00000140950	ENST00000535580	ENST00000570036	1
ENSG00000141027	ENST00000395849	ENST00000395857	1
ENSG00000141084	ENST00000425512	ENST00000602638	1
ENSG00000141084	ENST00000536251	ENST00000602506	1
ENSG00000141252	ENST00000446250	ENST00000573028	1
ENSG00000141380	ENST00000539849	ENST00000269138	2
ENSG00000141380	ENST00000545952	ENST00000585121	1
ENSG00000141429	ENST00000537549	ENST00000590654	1
ENSG00000141456	ENST00000436683	ENST00000575329	1
ENSG00000141458	ENST00000591051	ENST00000412552	2
ENSG00000141560	ENST00000535965	ENST00000574832	1
ENSG00000141564	ENST00000537330	ENST00000574767	1
ENSG00000141644	ENST00000424334	ENST00000585595	1
ENSG00000142621	ENST00000529606	ENST00000314740	2
ENSG00000142949	ENST00000414879	ENST00000422171	1
ENSG00000143147	ENST00000537209	ENST00000361697	2
ENSG00000143190	ENST00000452019	ENST00000560232	1
ENSG00000143416	ENST00000426705	ENST00000435071	1
ENSG00000143514	ENST00000391879	ENST00000483398	1
ENSG00000143847	ENST00000600426	ENST00000414050	2
ENSG00000143851	ENST00000544762	ENST00000462815	2
ENSG00000143851	ENST00000543735	ENST00000480836	2
ENSG00000144395	ENST00000272831	ENST00000431807	1
ENSG00000144481	ENST00000433712	ENST00000444298	1
ENSG00000144597	ENST00000432764	ENST00000449565	1
ENSG00000144827	ENST00000534857	ENST00000491580	2
ENSG00000144908	ENST00000455064	ENST00000493803	1
ENSG00000145020	ENST00000546031	ENST00000399379	2
ENSG00000145428	ENST00000274068	ENST00000503694	1
ENSG00000145431	ENST00000542208	ENST00000506880	2
ENSG00000145545	ENST00000537411	ENST00000510531	2
ENSG00000145555	ENST00000427430	ENST00000505695	1
ENSG00000145604	ENST00000546211	ENST00000509692	2
ENSG00000145888	ENST00000545569	ENST00000462581	2
ENSG00000145907	ENST00000543466	ENST00000522761	2
ENSG00000146083	ENST00000537487	ENST00000513029	2
ENSG00000146143	ENST00000607273	ENST00000389488	4
ENSG00000146378	ENST00000367931	ENST00000537809	1
ENSG00000146535	ENST00000407653	ENST00000396960	2
ENSG00000146926	ENST00000434669	ENST00000275838	2
ENSG00000147274	ENST00000570135	ENST00000464781	2
ENSG00000147381	ENST00000360243	ENST00000370335	1
ENSG00000147381	ENST00000360243	ENST00000370340	1
ENSG00000147381	ENST00000370335	ENST00000370340	1
ENSG00000147381	ENST00000370337	ENST00000393921	1
ENSG00000147381	ENST00000425182	ENST00000448295	1
ENSG00000147381	ENST00000441865	ENST00000457310	1
ENSG00000148225	ENST00000374195	ENST00000465205	1
ENSG00000149179	ENST00000543718	ENST00000527784	2
ENSG00000149179	ENST00000536126	ENST00000528488	2
ENSG00000149428	ENST00000543287	ENST00000532519	2
ENSG00000149639	ENST00000465671	ENST00000456801	2
ENSG00000149809	ENST00000540748	ENST00000529601	2
ENSG00000150477	ENST00000543923	ENST00000592611	1
ENSG00000150672	ENST00000330014	ENST00000376106	1
ENSG00000150768	ENST00000531306	ENST00000537636	1
ENSG00000151065	ENST00000397173	ENST00000543381	1
ENSG00000151148	ENST00000605142	ENST00000535089	2
ENSG00000151498	ENST00000543332	ENST00000524426	2
ENSG00000151498	ENST00000537423	ENST00000526026	2
ENSG00000151572	ENST00000538618	ENST00000549155	1
ENSG00000151611	ENST00000511969	ENST00000541599	1
ENSG00000151726	ENST00000437665	ENST00000506733	1
ENSG00000151948	ENST00000537468	ENST00000542193	1
ENSG00000152061	ENST00000469553	ENST00000367686	4
ENSG00000152430	ENST00000282278	ENST00000434976	1
ENSG00000152683	ENST00000357055	ENST00000454324	1
ENSG00000153237	ENST00000536771	ENST00000417066	2
ENSG00000153558	ENST00000538181	ENST00000432809	2
ENSG00000154175	ENST00000495591	ENST00000383691	2
ENSG00000155100	ENST00000404789	ENST00000522894	1
ENSG00000155875	ENST00000542071	ENST00000380530	2
ENSG00000156026	ENST00000536019	ENST00000605597	1
ENSG00000156170	ENST00000286687	ENST00000520757	1
ENSG00000156298	ENST00000422612	ENST00000471410	1
ENSG00000156298	ENST00000545599	ENST00000475216	2
ENSG00000156453	ENST00000357517	ENST00000536585	1
ENSG00000156642	ENST00000542234	ENST00000565325	1
ENSG00000156709	ENST00000460436	ENST00000440263	2
ENSG00000156709	ENST00000535724	ENST00000527892	2
ENSG00000156787	ENST00000378080	ENST00000524307	1
ENSG00000156860	ENST00000568722	ENST00000543786	2
ENSG00000156958	ENST00000543495	ENST00000560119	1
ENSG00000157426	ENST00000434343	ENST00000514745	1
ENSG00000157796	ENST00000288634	ENST00000506869	1
ENSG00000158805	ENST00000446326	ENST00000562530	1
ENSG00000159640	ENST00000421982	ENST00000578839	1
ENSG00000159640	ENST00000538928	ENST00000584529	3
ENSG00000159708	ENST00000290940	ENST00000567723	1
ENSG00000159708	ENST00000541146	ENST00000568010	1
ENSG00000159840	ENST00000354434	ENST00000449423	1
ENSG00000160117	ENST00000433424	ENST00000404261	2
ENSG00000160298	ENST00000397685	ENST00000445935	1
ENSG00000160799	ENST00000292314	ENST00000546280	1
ENSG00000161048	ENST00000455523	ENST00000427257	2
ENSG00000161513	ENST00000455107	ENST00000579482	1
ENSG00000161618	ENST00000433981	ENST00000593417	1
ENSG00000161960	ENST00000380512	ENST00000580461	1
ENSG00000162129	ENST00000535990	ENST00000437826	2
ENSG00000162174	ENST00000535727	ENST00000534183	2
ENSG00000162241	ENST00000417511	ENST00000526898	1
ENSG00000162290	ENST00000606822	ENST00000494659	4
ENSG00000162521	ENST00000544435	ENST00000492348	2
ENSG00000162585	ENST00000428120	ENST00000400919	2
ENSG00000162994	ENST00000406437	ENST00000428621	1
ENSG00000163072	ENST00000397209	ENST00000421711	1
ENSG00000163161	ENST00000493187	ENST00000445889	2
ENSG00000163378	ENST00000540955	ENST00000403140	2
ENSG00000163468	ENST00000368261	ENST00000368262	1
ENSG00000163517	ENST00000446613	ENST00000425430	2
ENSG00000163565	ENST00000430894	ENST00000359709	2
ENSG00000163565	ENST00000483916	ENST00000493884	5
ENSG00000163581	ENST00000382808	ENST00000469787	1
ENSG00000163617	ENST00000545063	ENST00000460813	2
ENSG00000163818	ENST00000536047	ENST00000418700	2
ENSG00000163904	ENST00000427465	ENST00000413407	2
ENSG00000163913	ENST00000431818	ENST00000512220	1
ENSG00000163964	ENST00000541663	ENST00000415832	2
ENSG00000164053	ENST00000357105	ENST00000424906	1
ENSG00000164070	ENST00000439123	ENST00000508776	1
ENSG00000164080	ENST00000432863	ENST00000296477	2
ENSG00000164120	ENST00000541923	ENST00000508330	2
ENSG00000164169	ENST00000541232	ENST00000514886	2
ENSG00000164253	ENST00000515253	ENST00000414719	2
ENSG00000164338	ENST00000509005	ENST00000543251	1
ENSG00000164535	ENST00000421761	ENST00000454738	1
ENSG00000164744	ENST00000453192	ENST00000449896	2
ENSG00000164808	ENST00000541342	ENST00000522117	2
ENSG00000164815	ENST00000545943	ENST00000422497	2
ENSG00000164904	ENST00000447989	ENST00000553117	1
ENSG00000164920	ENST00000457907	ENST00000522510	1
ENSG00000164930	ENST00000540287	ENST00000519011	2
ENSG00000164933	ENST00000543107	ENST00000523866	2
ENSG00000165458	ENST00000298229	ENST00000541756	1
ENSG00000165509	ENST00000409007	ENST00000536088	1
ENSG00000165813	ENST00000428953	ENST00000543782	1
ENSG00000166111	ENST00000550046	ENST00000550490	1
ENSG00000166111	ENST00000550046	ENST00000551429	3
ENSG00000166111	ENST00000550490	ENST00000551429	3
ENSG00000166130	ENST00000420861	ENST00000393042	2
ENSG00000166197	ENST00000603742	ENST00000464969	2
ENSG00000166333	ENST00000537806	ENST00000532063	2
ENSG00000166342	ENST00000397929	ENST00000580049	3
ENSG00000166405	ENST00000539720	ENST00000528463	2
ENSG00000166446	ENST00000562812	ENST00000563890	1
ENSG00000166446	ENST00000562812	ENST00000566173	1
ENSG00000166446	ENST00000563890	ENST00000566173	1
ENSG00000166508	ENST00000354230	ENST00000485286	3
ENSG00000166548	ENST00000544898	ENST00000567357	1
ENSG00000166704	ENST00000536132	ENST00000550599	1
ENSG00000166736	ENST00000510849	ENST00000535865	1
ENSG00000166783	ENST00000548025	ENST00000602337	1
ENSG00000166900	ENST00000437946	ENST00000533637	1
ENSG00000166912	ENST00000314404	ENST00000568547	1
ENSG00000166938	ENST00000441424	ENST00000524795	1
