#ENSG	canENSP	ENST	Sample	GTExMDTs	N_GTEx	MedianMDTenrGTEx	Pvalue	Qvalue	N_GTeX_MDTs	EnrPcawg	MedRelExprGTEx	RelExprPcawg	MissedInts	StringIntN	MissedCanN	MissedComN
ENSG00000004897	ENSP00000434614	ENST00000570740	64b434c0-0692-4034-9561-698a4d34629d	ENST00000066544:81	88	5.8275862068965525	6.462e-27	6.649e-27	81	2.637	0.114	0.598	PF13414:TPR_11:709-774:PF15243:ANAPC15:ENSP00000227618:957:1,PF13414:TPR_11:709-774:PF12862:Apc5:ENSP00000261819:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000310071:999:1,PF00515:TPR_1:677-708:PF13181:TPR_8:ENSP00000348554:999:1,PF00515:TPR_1:677-708:PF00515:TPR_1:ENSP00000378350:999:1,PF00515:TPR_1:677-708:PF07719:TPR_2:ENSP00000394394:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000438788:921:1	7	7	0
ENSG00000004897	ENSP00000434614	ENST00000570740	0031d433-d703-4b2c-9fdf-2920008eb457	ENST00000066544:81	88	5.8275862068965525	6.462e-27	6.649e-27	81	2.798	0.114	0.528	PF13414:TPR_11:709-774:PF15243:ANAPC15:ENSP00000227618:957:1,PF13414:TPR_11:709-774:PF12862:Apc5:ENSP00000261819:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000310071:999:1,PF00515:TPR_1:677-708:PF13181:TPR_8:ENSP00000348554:999:1,PF00515:TPR_1:677-708:PF00515:TPR_1:ENSP00000378350:999:1,PF00515:TPR_1:677-708:PF07719:TPR_2:ENSP00000394394:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000438788:921:1	7	7	0
ENSG00000004897	ENSP00000434614	ENST00000570740	dd96340b-cc6f-4a3f-b441-c7af1d86684e	ENST00000066544:81	88	5.8275862068965525	6.462e-27	6.649e-27	81	3.530	0.114	0.500	PF13414:TPR_11:709-774:PF15243:ANAPC15:ENSP00000227618:957:1,PF13414:TPR_11:709-774:PF12862:Apc5:ENSP00000261819:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000310071:999:1,PF00515:TPR_1:677-708:PF13181:TPR_8:ENSP00000348554:999:1,PF00515:TPR_1:677-708:PF00515:TPR_1:ENSP00000378350:999:1,PF00515:TPR_1:677-708:PF07719:TPR_2:ENSP00000394394:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000438788:921:1	7	7	0
ENSG00000004897	ENSP00000434614	ENST00000570740	932c2e20-510c-4aed-879e-b69d90710b64	ENST00000066544:81	88	5.8275862068965525	6.462e-27	6.649e-27	81	5.023	0.114	0.604	PF13414:TPR_11:709-774:PF15243:ANAPC15:ENSP00000227618:957:1,PF13414:TPR_11:709-774:PF12862:Apc5:ENSP00000261819:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000310071:999:1,PF00515:TPR_1:677-708:PF13181:TPR_8:ENSP00000348554:999:1,PF00515:TPR_1:677-708:PF00515:TPR_1:ENSP00000378350:999:1,PF00515:TPR_1:677-708:PF07719:TPR_2:ENSP00000394394:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000438788:921:1	7	7	0
ENSG00000005075	ENSP00000292614	ENST00000393794	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	2.311	0.291	0.698	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	e4d3986d-f3bd-44c2-a850-b72571bf0215	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	3.855	0.291	0.794	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	778a27dd-94f3-484f-9da5-9ba003dde54d	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	2.148	0.291	0.682	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	5f8c2272-4530-45b3-a6d7-00de9be46d71	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	2.584	0.291	0.721	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	82a1c742-2d97-4c7a-bf1d-ca0233c60b6c	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	2.094	0.291	0.677	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	9c1d30c4-c8f0-4ca7-bec7-243f81b7680a	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	3.916	0.291	0.797	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	151bb98d-d961-49c1-a54f-8293b3ab2ebd	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	2.809	0.291	0.737	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	ffac8b7c-64ac-429c-800b-fb2a5b6deefe	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	2.990	0.291	0.749	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	0031d433-d703-4b2c-9fdf-2920008eb457	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	2.891	0.291	0.743	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	b2ee51d4-301a-47f2-9be0-de43df53cad6	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	2.019	0.291	0.669	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	9fc223be-56b9-4fde-8981-806a82045236	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	3.418	0.291	0.774	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	a7fa7e33-58e4-4463-b697-61a9c58bf9e1	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	2.056	0.291	0.673	-	0	0	0
ENSG00000005075	ENSP00000292614	ENST00000393794	2ee1e0d0-79f9-4e02-be27-773ee4b88320	ENST00000292614:58	88	2.9794365376638265	6.462e-27	6.649e-27	58	2.313	0.291	0.698	-	0	0	0
ENSG00000005339	ENSP00000262367	ENST00000382070	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000262367:70	88	4.268619665993975	6.462e-27	6.649e-27	70	9.524	0.219	0.905	-	0	0	0
ENSG00000005339	ENSP00000262367	ENST00000382070	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000262367:70	88	4.268619665993975	6.462e-27	6.649e-27	70	9.695	0.219	0.900	-	0	0	0
ENSG00000005339	ENSP00000262367	ENST00000382070	5f8c2272-4530-45b3-a6d7-00de9be46d71	ENST00000262367:70	88	4.268619665993975	6.462e-27	6.649e-27	70	3.026	0.219	0.740	-	0	0	0
ENSG00000005339	ENSP00000262367	ENST00000382070	9c1d30c4-c8f0-4ca7-bec7-243f81b7680a	ENST00000262367:70	88	4.268619665993975	6.462e-27	6.649e-27	70	3.648	0.219	0.773	-	0	0	0
ENSG00000005339	ENSP00000262367	ENST00000382070	151bb98d-d961-49c1-a54f-8293b3ab2ebd	ENST00000262367:70	88	4.268619665993975	6.462e-27	6.649e-27	70	3.934	0.219	0.791	-	0	0	0
ENSG00000005339	ENSP00000262367	ENST00000382070	0031d433-d703-4b2c-9fdf-2920008eb457	ENST00000262367:70	88	4.268619665993975	6.462e-27	6.649e-27	70	2.980	0.219	0.733	-	0	0	0
ENSG00000005339	ENSP00000262367	ENST00000382070	dd96340b-cc6f-4a3f-b441-c7af1d86684e	ENST00000262367:70	88	4.268619665993975	6.462e-27	6.649e-27	70	4.748	0.219	0.819	-	0	0	0
ENSG00000005339	ENSP00000262367	ENST00000382070	932c2e20-510c-4aed-879e-b69d90710b64	ENST00000262367:70	88	4.268619665993975	6.462e-27	6.649e-27	70	10.581	0.219	0.897	-	0	0	0
ENSG00000005469	ENSP00000413575	ENST00000419147	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000331536:88	88	9.738958560523447	6.462e-27	6.649e-27	88	13.833	0.029	0.933	-	0	0	0
ENSG00000005469	ENSP00000413575	ENST00000419147	151bb98d-d961-49c1-a54f-8293b3ab2ebd	ENST00000331536:88	88	9.738958560523447	6.462e-27	6.649e-27	88	6.466	0.029	0.810	-	0	0	0
ENSG00000005844	ENSP00000349252	ENST00000358164	dd96340b-cc6f-4a3f-b441-c7af1d86684e	ENST00000356798:47	88	3.359375	5.751e-25	5.833e-25	47	3.865	0.244	0.756	PF00092:VWA:156-326:PF03921:ICAM_N:ENSP00000160262:999:1,PF00092:VWA:156-326:PF03921:ICAM_N:ENSP00000221980:975:1,PF00092:VWA:156-326:PF03921:ICAM_N:ENSP00000264832:999:1,PF00092:VWA:156-326:PF07686:V-set:ENSP00000280200:970:1,PF00092:VWA:156-326:PF00092:VWA:ENSP00000282588:915:1,PF00092:VWA:156-326:PF07686:V-set:ENSP00000283635:960:1,PF00092:VWA:156-326:PF03921:ICAM_N:ENSP00000342114:918:1,PF00092:VWA:156-326:PF00092:VWA:ENSP00000373854:915:1,PF00092:VWA:156-326:PF03921:ICAM_N:ENSP00000388666:962:1	9	9	0
ENSG00000005882	ENSP00000420927	ENST00000510219	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000007708:83	88	2.570403587443946	6.462e-27	6.649e-27	83	3.382	0.012	0.528	-	0	0	0
ENSG00000005882	ENSP00000420927	ENST00000510219	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000007708:83	88	2.570403587443946	6.462e-27	6.649e-27	83	2.107	0.012	0.465	-	0	0	0
ENSG00000005955	ENSP00000307617	ENST00000593016	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000304718:88	88	9.987826657819316	6.462e-27	6.649e-27	88	3.519	0.008	0.772	-	0	0	0
ENSG00000005955	ENSP00000307617	ENST00000593016	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000304718:88	88	9.987826657819316	6.462e-27	6.649e-27	88	4.454	0.008	0.795	-	0	0	0
ENSG00000005955	ENSP00000307617	ENST00000593016	932c2e20-510c-4aed-879e-b69d90710b64	ENST00000304718:88	88	9.987826657819316	6.462e-27	6.649e-27	88	4.297	0.008	0.790	-	0	0	0
ENSG00000006015	ENSP00000351422	ENST00000450195	9c1d30c4-c8f0-4ca7-bec7-243f81b7680a	ENST00000358607:88	88	5.385883536380909	6.462e-27	6.649e-27	88	2.061	0.149	0.548	-	0	0	0
ENSG00000006042	ENSP00000378138	ENST00000439138	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000394642:81	88	3.377521613832853	6.462e-27	6.649e-27	81	5.026	0.161	0.759	-	0	0	0
ENSG00000006042	ENSP00000378138	ENST00000439138	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000394642:81	88	3.377521613832853	6.462e-27	6.649e-27	81	4.273	0.161	0.692	-	0	0	0
ENSG00000006042	ENSP00000378138	ENST00000439138	9c1d30c4-c8f0-4ca7-bec7-243f81b7680a	ENST00000394642:81	88	3.377521613832853	6.462e-27	6.649e-27	81	2.766	0.161	0.629	-	0	0	0
ENSG00000006042	ENSP00000378138	ENST00000439138	151bb98d-d961-49c1-a54f-8293b3ab2ebd	ENST00000394642:81	88	3.377521613832853	6.462e-27	6.649e-27	81	2.234	0.161	0.642	-	0	0	0
ENSG00000006042	ENSP00000378138	ENST00000439138	dd96340b-cc6f-4a3f-b441-c7af1d86684e	ENST00000394642:81	88	3.377521613832853	6.462e-27	6.649e-27	81	2.525	0.161	0.609	-	0	0	0
ENSG00000006042	ENSP00000378138	ENST00000439138	932c2e20-510c-4aed-879e-b69d90710b64	ENST00000394642:81	88	3.377521613832853	6.462e-27	6.649e-27	81	4.693	0.161	0.748	-	0	0	0
ENSG00000006210	ENSP00000006053	ENST00000563383	82a1c742-2d97-4c7a-bf1d-ca0233c60b6c	ENST00000006053:88	88	11.380434782608695	6.462e-27	6.649e-27	88	17.095	0.000	0.910	-	0	0	0
ENSG00000006210	ENSP00000006053	ENST00000563383	974b1fa9-8ee7-4f02-b0ff-221fc98abe5f	ENST00000006053:88	88	11.380434782608695	6.462e-27	6.649e-27	88	8.031	0.000	0.854	-	0	0	0
ENSG00000006210	ENSP00000006053	ENST00000563383	2ee1e0d0-79f9-4e02-be27-773ee4b88320	ENST00000006053:88	88	11.380434782608695	6.462e-27	6.649e-27	88	26.385	0.000	0.932	-	0	0	0
ENSG00000006327	ENSP00000326737	ENST00000574699	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000326577:85	88	5.0476190476190474	6.462e-27	6.649e-27	85	2.006	0.073	0.609	-	0	0	0
ENSG00000006327	ENSP00000326737	ENST00000574699	bd33fafa-9922-4efe-9e1d-c8d8f6b8e7cc	ENST00000326577:85	88	5.0476190476190474	6.462e-27	6.649e-27	85	2.123	0.073	0.652	-	0	0	0
ENSG00000006459	ENSP00000380692	ENST00000397560	9c1d30c4-c8f0-4ca7-bec7-243f81b7680a	ENST00000472616:51	88	2.403755868544601	6.462e-27	6.649e-27	51	4.459	0.319	0.777	-	0	0	0
ENSG00000006459	ENSP00000380692	ENST00000397560	dd96340b-cc6f-4a3f-b441-c7af1d86684e	ENST00000472616:51	88	2.403755868544601	6.462e-27	6.649e-27	51	2.312	0.319	0.698	-	0	0	0
ENSG00000006459	ENSP00000380692	ENST00000397560	932c2e20-510c-4aed-879e-b69d90710b64	ENST00000472616:51	88	2.403755868544601	6.462e-27	6.649e-27	51	3.394	0.319	0.772	-	0	0	0
ENSG00000006530	ENSP00000347581	ENST00000473247	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000355413:86	88	37.85912698412699	6.462e-27	6.649e-27	86	4.536	0.020	0.819	-	0	0	0
ENSG00000006530	ENSP00000347581	ENST00000473247	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000355413:86	88	37.85912698412699	6.462e-27	6.649e-27	86	4.435	0.020	0.816	-	0	0	0
ENSG00000006530	ENSP00000347581	ENST00000473247	9c1d30c4-c8f0-4ca7-bec7-243f81b7680a	ENST00000355413:86	88	37.85912698412699	6.462e-27	6.649e-27	86	4.278	0.020	0.761	-	0	0	0
ENSG00000006530	ENSP00000347581	ENST00000473247	151bb98d-d961-49c1-a54f-8293b3ab2ebd	ENST00000355413:86	88	37.85912698412699	6.462e-27	6.649e-27	86	3.595	0.020	0.782	-	0	0	0
ENSG00000006530	ENSP00000347581	ENST00000473247	0031d433-d703-4b2c-9fdf-2920008eb457	ENST00000355413:86	88	37.85912698412699	6.462e-27	6.649e-27	86	3.129	0.020	0.755	-	0	0	0
ENSG00000006530	ENSP00000347581	ENST00000473247	dd96340b-cc6f-4a3f-b441-c7af1d86684e	ENST00000355413:86	88	37.85912698412699	6.462e-27	6.649e-27	86	3.131	0.020	0.758	-	0	0	0
ENSG00000006530	ENSP00000347581	ENST00000473247	932c2e20-510c-4aed-879e-b69d90710b64	ENST00000355413:86	88	37.85912698412699	6.462e-27	6.649e-27	86	3.399	0.020	0.773	-	0	0	0
ENSG00000006534	-	ENST00000342456	ab75168e-e0a3-46b9-a96f-49f383271b41	ENST00000007633:88	88	7.633834073062479	6.462e-27	6.649e-27	88	3.714	0.061	0.693	-	0	0	0
ENSG00000006576	ENSP00000400958	ENST00000424760	9c1d30c4-c8f0-4ca7-bec7-243f81b7680a	ENST00000307305:75	88	8.049382716049381	6.462e-27	6.649e-27	75	2.062	0.018	0.532	-	0	0	0
ENSG00000006634	ENSP00000265728	ENST00000413643	dd96340b-cc6f-4a3f-b441-c7af1d86684e	ENST00000431138:63	88	4.637499999999999	6.462e-27	6.649e-27	63	10.500	0.126	0.899	-	4	0	4
ENSG00000007062	ENSP00000415481	ENST00000513946	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000508167:63	88	4.334801762114537	6.462e-27	6.649e-27	63	2.930	0.054	0.674	-	0	0	0
ENSG00000007062	ENSP00000415481	ENST00000513946	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000508167:63	88	4.334801762114537	6.462e-27	6.649e-27	63	2.367	0.054	0.447	-	0	0	0
ENSG00000007520	ENSP00000007390	ENST00000566296	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000007390:88	88	41.50805422647528	6.462e-27	6.649e-27	88	2.263	0.024	0.694	-	0	0	0
ENSG00000007541	ENSP00000026218	ENST00000026218	67cab911-4a5a-410b-87f5-22393125e768	ENST00000321878:83	88	4.0982367758186395	6.462e-27	6.649e-27	83	2.906	0.079	0.527	-	0	0	0
ENSG00000007541	ENSP00000026218	ENST00000026218	d28cd72f-27c3-4bea-bfc1-233461270a0b	ENST00000321878:83	88	4.0982367758186395	6.462e-27	6.649e-27	83	2.432	0.079	0.438	-	0	0	0
ENSG00000007541	ENSP00000026218	ENST00000026218	874d730a-f299-4a0d-a582-8a1c627d1033	ENST00000321878:83	88	4.0982367758186395	6.462e-27	6.649e-27	83	2.080	0.079	0.443	-	0	0	0
ENSG00000007944	ENSP00000349298	ENST00000356840	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000349606:84	88	3.0504342354286154	6.462e-27	6.649e-27	84	5.451	0.248	0.845	-	0	0	0
ENSG00000007944	ENSP00000349298	ENST00000356840	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000349606:84	88	3.0504342354286154	6.462e-27	6.649e-27	84	6.983	0.248	0.875	-	0	0	0
ENSG00000007944	ENSP00000349298	ENST00000356840	dd96340b-cc6f-4a3f-b441-c7af1d86684e	ENST00000349606:84	88	3.0504342354286154	6.462e-27	6.649e-27	84	4.509	0.248	0.818	-	0	0	0
ENSG00000007944	ENSP00000349298	ENST00000356840	932c2e20-510c-4aed-879e-b69d90710b64	ENST00000349606:84	88	3.0504342354286154	6.462e-27	6.649e-27	84	13.266	0.248	0.930	-	0	0	0
ENSG00000008083	ENSP00000341280	ENST00000397311	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000341776:88	88	33.91176470588235	6.462e-27	6.649e-27	88	3.359	0.010	0.751	-	0	0	0
ENSG00000008083	ENSP00000341280	ENST00000397311	dd96340b-cc6f-4a3f-b441-c7af1d86684e	ENST00000341776:88	88	33.91176470588235	6.462e-27	6.649e-27	88	2.021	0.010	0.637	-	0	0	0
ENSG00000008083	ENSP00000341280	ENST00000397311	932c2e20-510c-4aed-879e-b69d90710b64	ENST00000341776:88	88	33.91176470588235	6.462e-27	6.649e-27	88	4.560	0.010	0.803	-	0	0	0
ENSG00000008294	ENSP00000262013	ENST00000357122	932c2e20-510c-4aed-879e-b69d90710b64	ENST00000262013:85	88	3.705479452054795	6.462e-27	6.649e-27	85	2.371	0.005	0.549	-	0	0	0
